cliente_id,edad,genero,region,zona,tipo_cliente,es_digital,uso_app,uso_whatsapp,interaccion_digital_score,canal_whatsapp,canal_sms,canal_llamada,canal_campo,score_riesgo,prob_default,num_atrasos_previos,dias_mora_promedio,ratio_pago,ultimo_pago_dias
18,22,M,Lima,urbano,recurrente,1,0.49,0,30,0,1,1,1,431,0.652,1,17,0.36,24
19,44,M,Lima,urbano,recurrente,0,0.58,1,37,1,0,1,0,572,0.899,2,56,0.32,32
20,64,F,Norte,urbano,recurrente,1,0.88,1,83,1,0,1,0,346,0.553,1,27,0.41,20
21,50,F,Sur,urbano,recurrente,0,0.44,0,19,0,1,1,0,720,0.924,4,9,0.59,54
22,58,F,Norte,urbano,recurrente,1,0.97,1,20,1,0,1,0,655,0.933,2,22,0.25,81
23,22,M,Centro,rural,nuevo,0,0.65,0,90,0,1,1,0,682,0.02,3,29,0.43,69
24,41,F,Sur,rural,nuevo,1,0.16,1,29,1,0,1,0,527,0.48,0,37,0.11,8
25,53,M,Lima,urbano,recurrente,0,0.67,0,62,0,1,1,0,823,0.152,3,22,0.89,74
26,32,M,Norte,urbano,nuevo,0,0.02,1,88,1,1,1,0,805,0.219,2,59,0.17,47
27,42,M,Lima,urbano,recurrente,0,0.66,1,70,1,1,1,0,570,0.667,2,29,0.3,52
28,64,F,Lima,urbano,nuevo,0,0.61,0,26,0,1,1,0,540,0.901,2,54,0.61,9
29,45,F,Centro,urbano,recurrente,1,0.5,0,82,0,1,1,1,622,0.612,1,53,0.43,36
30,69,F,Sur,urbano,recurrente,0,0.47,0,0,0,0,1,0,546,0.901,1,17,0.33,6
31,47,F,Centro,rural,recurrente,0,0.06,1,74,1,1,1,0,725,0.441,2,6,0.88,9
32,62,F,Centro,urbano,nuevo,0,0.06,1,70,1,1,1,0,478,0.263,3,34,0.21,87
33,48,F,Sur,urbano,nuevo,1,0.31,0,76,0,1,1,1,521,0.51,2,52,0.8,71
34,36,M,Centro,urbano,nuevo,0,0.18,0,28,0,1,1,0,335,0.088,2,2,0.73,33
35,35,F,Sur,rural,nuevo,0,0.34,1,68,1,1,1,1,363,0.385,0,26,0.23,11
36,67,F,Centro,urbano,nuevo,0,0.99,0,11,1,1,1,1,345,0.449,1,52,0.83,44
37,64,M,Norte,urbano,recurrente,1,0.8,1,44,1,1,1,0,798,0.621,3,53,0.25,4
38,23,F,Sur,urbano,recurrente,1,0.15,0,58,0,1,1,0,788,0.556,1,14,0.98,20
39,57,F,Lima,urbano,nuevo,0,0.02,0,81,0,0,1,0,730,0.24,3,14,0.74,27
40,27,M,Centro,rural,nuevo,1,0.06,1,4,1,1,1,1,588,0.389,2,46,0.98,28
41,41,F,Centro,urbano,recurrente,0,0.27,1,29,1,1,1,1,545,0.254,3,36,0.99,88
42,29,M,Sur,urbano,nuevo,0,0.19,1,39,1,0,1,1,403,0.005,1,42,0.4,76
43,59,M,Centro,rural,nuevo,1,0.53,0,73,0,1,1,0,699,0.696,0,42,0.66,42
44,38,M,Centro,urbano,recurrente,1,0.74,1,15,1,1,1,0,678,0.225,4,24,0.49,47
45,24,F,Sur,urbano,nuevo,0,0.12,0,68,0,1,1,0,653,0.417,2,1,0.73,33
46,45,M,Sur,urbano,recurrente,0,0.56,1,50,1,0,1,1,384,0.514,3,37,0.73,8
47,34,F,Centro,rural,recurrente,0,0.74,1,98,1,1,1,0,678,0.645,1,48,0.24,11
48,29,M,Sur,rural,recurrente,1,0.68,0,96,0,0,1,0,760,0.553,5,17,0.67,10
49,46,F,Centro,rural,nuevo,1,0.58,1,92,1,1,1,0,823,0.019,2,1,0.46,37
50,22,M,Centro,urbano,nuevo,0,0.46,1,29,1,0,1,0,681,0.792,4,58,0.95,44
51,40,F,Centro,rural,recurrente,0,0.24,0,60,0,1,1,0,495,0.678,1,48,0.61,67
52,48,F,Lima,urbano,nuevo,1,0.86,1,2,1,1,1,1,347,0.096,1,14,0.08,63
53,67,F,Sur,rural,nuevo,1,0.13,0,22,0,1,1,1,365,0.684,0,30,0.07,37
54,27,F,Lima,urbano,recurrente,1,0.34,0,0,1,1,1,1,752,0.384,2,23,0.51,56
55,64,F,Norte,urbano,recurrente,0,0.15,1,83,1,1,1,1,577,0.045,3,41,0.89,75
56,28,F,Norte,rural,recurrente,0,0.31,1,30,1,0,1,1,778,0.051,4,48,0.21,83
57,67,F,Centro,urbano,recurrente,1,0.63,1,68,1,1,1,1,746,0.746,1,34,0.01,9
58,55,F,Lima,urbano,nuevo,0,0.49,0,26,0,1,1,0,402,0.543,4,31,0.01,80
59,34,F,Centro,urbano,recurrente,1,0.19,0,26,0,1,1,1,311,0.877,6,15,0.77,61
60,37,M,Centro,rural,recurrente,1,0.01,1,78,1,1,1,1,713,0.733,1,58,0.65,23
61,56,M,Centro,rural,recurrente,0,0.21,0,65,0,1,1,0,438,0.256,1,17,0.05,33
62,60,M,Centro,rural,recurrente,0,0.64,1,45,1,1,1,0,645,0.265,3,4,0.8,54
63,24,M,Centro,urbano,nuevo,0,0.58,0,45,0,0,1,0,322,0.737,2,16,0.84,6
64,22,M,Norte,rural,recurrente,1,0.05,1,14,1,0,1,1,801,0.473,0,56,0.21,17
65,26,F,Sur,urbano,recurrente,0,0.52,1,22,1,0,1,0,727,0.847,1,46,0.38,14
66,62,M,Sur,urbano,nuevo,1,0.04,1,87,1,0,1,0,654,0.716,3,17,0.15,4
67,24,M,Sur,urbano,nuevo,0,0.1,1,70,1,1,1,0,666,0.589,0,15,0.48,23
68,49,M,Norte,rural,recurrente,1,0.19,1,26,1,0,1,1,513,0.633,1,53,0.05,26
69,38,M,Lima,urbano,nuevo,1,0.44,0,76,0,1,1,0,401,0.07,1,32,0.95,62
70,46,F,Norte,rural,recurrente,1,0.13,1,23,1,1,1,0,507,0.329,2,6,0.09,5
71,64,F,Norte,rural,nuevo,1,0.77,1,68,1,1,1,1,537,0.849,3,7,0.56,13
72,54,M,Lima,urbano,recurrente,0,0.45,0,22,0,1,1,1,604,0.245,2,31,0.32,63
73,30,M,Centro,rural,nuevo,1,0.43,0,35,0,1,1,0,488,0.237,2,20,0.23,55
74,56,M,Centro,urbano,recurrente,1,0.91,0,94,0,1,1,0,656,0.563,1,22,0.98,62
75,34,M,Centro,urbano,recurrente,1,0.88,1,66,1,1,1,1,340,0.826,1,59,0.3,6
76,51,F,Lima,urbano,nuevo,1,0.66,1,68,1,1,1,0,498,0.996,2,20,0.29,89
77,68,F,Norte,urbano,recurrente,0,0.54,1,14,1,0,1,0,405,0.284,2,41,0.77,14
78,35,F,Norte,urbano,recurrente,1,0.03,0,37,0,1,1,0,748,0.979,3,13,0.42,56
79,28,M,Lima,urbano,recurrente,1,0.67,1,26,1,1,1,0,326,0.348,1,41,0.05,38
80,34,F,Centro,urbano,recurrente,1,0.49,1,7,1,0,1,1,324,0.356,0,59,0.17,57
81,43,M,Lima,urbano,recurrente,1,0.24,1,68,1,1,1,0,363,0.981,0,47,0.27,3
82,60,F,Norte,urbano,recurrente,1,0.13,1,17,1,1,1,0,307,0.427,2,29,0.05,65
83,41,F,Sur,urbano,nuevo,1,0.17,1,99,1,1,1,0,470,0.868,2,36,0.72,31
84,36,M,Sur,urbano,recurrente,1,0.85,1,81,1,1,1,0,653,0.58,2,53,0.37,31
85,65,F,Sur,rural,recurrente,0,0.12,0,60,1,0,1,1,436,0.413,4,31,0.32,5
86,38,F,Centro,urbano,recurrente,1,0.16,0,27,1,1,1,1,804,0.636,1,15,0.26,46
87,67,M,Centro,urbano,recurrente,0,0.71,0,13,1,1,1,1,714,0.469,2,12,0.62,34
88,44,F,Centro,urbano,recurrente,0,0.9,0,42,0,1,1,0,595,0.603,3,45,0.12,11
89,46,F,Centro,urbano,nuevo,1,0.0,1,72,1,0,1,1,744,0.673,5,11,0.44,61
90,45,M,Lima,rural,recurrente,1,0.21,0,45,0,1,1,1,520,0.465,3,4,0.53,33
91,65,F,Sur,urbano,nuevo,1,0.1,1,98,1,1,1,0,412,0.69,0,0,0.07,9
92,61,M,Sur,urbano,recurrente,1,0.45,0,40,0,1,1,1,484,0.958,2,28,0.5,57
93,49,M,Centro,rural,recurrente,1,0.61,1,3,1,1,1,1,486,0.279,2,16,0.89,14
94,35,M,Centro,urbano,recurrente,0,0.32,1,65,1,0,1,0,519,0.044,1,21,0.49,2
95,65,M,Lima,urbano,recurrente,1,0.67,1,99,1,1,1,1,757,0.52,0,16,0.58,10
96,21,M,Lima,urbano,nuevo,1,0.81,1,31,1,1,1,0,503,0.327,3,42,0.62,18
97,45,M,Lima,urbano,recurrente,1,0.74,1,87,1,1,1,0,478,0.388,2,12,0.26,46
98,27,M,Sur,rural,recurrente,1,0.72,1,26,1,1,1,0,346,0.183,1,40,0.05,56
99,29,M,Sur,urbano,nuevo,1,0.01,1,20,1,1,1,0,755,0.087,1,44,0.3,66
100,44,M,Sur,urbano,recurrente,0,0.67,1,66,1,1,1,0,836,0.181,1,53,0.53,52
101,21,M,Sur,urbano,recurrente,1,0.1,1,58,1,0,1,0,808,0.252,1,44,0.16,72
102,64,M,Lima,rural,recurrente,0,0.59,1,41,1,0,1,0,431,0.195,3,10,0.65,0
103,28,M,Centro,rural,recurrente,1,0.82,1,74,1,0,1,0,429,0.546,3,20,0.11,4
104,44,M,Sur,rural,recurrente,1,0.75,1,61,1,1,1,0,329,0.257,3,41,0.43,69
105,31,F,Lima,urbano,nuevo,1,0.24,1,1,1,1,1,0,546,0.342,1,34,0.56,69
106,37,M,Centro,rural,recurrente,1,0.08,1,99,1,1,1,0,313,0.02,1,31,0.04,85
107,28,M,Norte,urbano,nuevo,0,0.02,1,88,1,1,1,0,839,0.619,1,38,0.8,57
108,55,M,Centro,urbano,recurrente,1,0.5,1,76,1,1,1,1,836,0.076,1,37,0.12,36
109,55,F,Norte,urbano,nuevo,0,0.1,1,87,1,0,1,0,441,0.855,2,51,0.93,49
110,53,M,Norte,urbano,recurrente,0,0.55,1,7,1,0,1,0,503,0.524,4,12,0.63,52
111,25,F,Sur,urbano,recurrente,1,0.13,1,38,1,0,1,0,423,0.782,2,38,0.52,69
112,62,M,Lima,urbano,recurrente,1,0.61,1,41,1,1,1,0,392,0.791,2,24,0.87,20
113,59,F,Centro,rural,recurrente,1,0.99,1,62,1,1,1,1,319,0.593,5,0,0.42,49
114,61,F,Norte,urbano,recurrente,1,0.16,1,88,1,0,1,1,306,0.706,2,56,0.53,89
115,48,F,Lima,urbano,recurrente,1,0.66,0,51,1,1,1,0,625,0.745,0,53,0.88,19
116,27,F,Centro,urbano,recurrente,1,0.3,1,40,1,1,1,1,544,0.265,2,10,0.57,78
117,29,F,Sur,rural,nuevo,1,0.64,0,68,0,1,1,1,459,0.599,1,50,0.1,4
118,28,M,Centro,rural,recurrente,1,0.26,1,37,1,1,1,0,791,0.198,1,21,0.99,79
119,32,M,Sur,rural,recurrente,0,0.3,1,53,1,1,1,1,726,0.055,1,5,0.97,44
120,54,M,Centro,urbano,recurrente,0,0.47,0,63,0,1,1,0,317,0.874,0,32,0.36,46
121,53,F,Centro,urbano,recurrente,1,0.88,1,10,1,1,1,0,721,0.912,1,12,0.69,83
122,68,F,Norte,urbano,recurrente,0,0.01,1,7,1,1,1,0,776,0.21,2,18,0.33,26
123,43,F,Norte,urbano,recurrente,1,0.26,1,81,1,1,1,0,561,0.353,1,25,0.73,30
124,44,F,Norte,urbano,nuevo,0,0.15,1,9,1,0,1,0,372,0.991,0,15,0.1,41
125,57,M,Sur,rural,nuevo,1,0.33,1,15,1,1,1,0,724,0.141,2,18,0.68,0
126,55,F,Centro,urbano,recurrente,1,0.43,1,71,1,0,1,0,345,0.917,0,43,0.5,7
127,64,M,Centro,rural,nuevo,1,0.53,1,87,1,1,1,1,464,0.354,2,34,0.69,56
128,60,F,Sur,urbano,recurrente,1,0.08,0,15,0,1,1,0,729,0.93,2,13,0.62,57
129,42,F,Centro,urbano,recurrente,0,0.55,1,24,1,1,1,0,446,0.332,1,17,0.14,25
130,47,F,Norte,urbano,recurrente,1,0.92,1,74,1,1,1,1,503,0.351,2,30,0.36,71
131,55,F,Sur,urbano,nuevo,1,0.58,0,80,0,1,1,0,807,0.255,2,12,0.6,71
132,21,F,Sur,rural,recurrente,1,0.8,1,7,1,1,1,0,837,0.215,3,19,0.76,25
133,55,M,Centro,rural,recurrente,1,0.18,1,17,1,1,1,0,341,0.03,3,54,0.99,24
134,57,F,Norte,urbano,nuevo,0,0.66,0,49,0,0,1,0,386,0.997,3,13,0.06,9
135,67,M,Centro,rural,nuevo,1,0.09,1,62,1,1,1,1,784,0.729,1,4,0.4,27
136,34,M,Centro,rural,nuevo,0,0.47,1,77,1,1,1,0,322,0.435,0,9,0.73,87
137,23,F,Sur,rural,recurrente,1,0.27,1,31,1,0,1,0,628,0.229,3,58,0.7,37
138,21,F,Sur,urbano,recurrente,1,0.53,1,93,1,1,1,0,489,0.937,2,42,0.6,52
139,25,F,Lima,urbano,recurrente,0,0.47,1,63,1,0,1,1,395,0.202,1,39,0.12,64
140,46,F,Centro,urbano,nuevo,1,0.09,1,53,1,0,1,1,560,0.316,3,12,0.95,74
141,34,F,Lima,urbano,recurrente,1,0.99,1,47,1,1,1,0,691,0.119,7,50,0.39,55
142,59,F,Centro,urbano,recurrente,1,0.46,1,63,1,1,1,1,812,0.009,3,34,0.14,52
143,47,M,Lima,rural,nuevo,1,0.48,1,91,1,1,1,1,392,0.588,5,19,0.33,36
144,29,M,Centro,urbano,nuevo,1,0.41,1,79,1,1,1,0,477,0.732,3,1,0.08,34
145,35,F,Sur,urbano,recurrente,1,0.24,1,18,1,0,1,1,822,0.264,1,36,0.49,23
146,35,F,Sur,rural,recurrente,1,0.9,1,46,1,1,1,0,539,0.963,2,43,0.55,57
147,46,M,Lima,urbano,recurrente,1,0.06,0,74,0,0,1,0,328,0.206,4,48,0.54,4
148,62,M,Lima,rural,nuevo,1,0.87,1,24,1,1,1,1,566,0.37,1,9,0.77,20
149,33,M,Lima,urbano,nuevo,0,0.15,1,47,1,0,1,1,828,0.073,6,2,0.46,50
150,52,F,Norte,rural,nuevo,0,0.14,0,78,0,1,1,0,664,0.906,1,58,0.8,43
151,59,M,Lima,urbano,recurrente,1,0.27,0,8,0,1,1,0,686,0.043,2,58,0.41,28
152,69,F,Lima,rural,recurrente,0,0.71,1,83,1,1,1,0,419,0.731,1,53,0.04,8
153,52,F,Lima,urbano,nuevo,0,0.99,0,58,0,0,1,0,644,0.485,3,28,0.16,22
154,24,M,Norte,urbano,nuevo,1,0.68,0,3,0,1,1,0,481,0.353,0,2,0.49,89
155,50,M,Norte,urbano,recurrente,1,0.34,1,8,1,1,1,1,464,0.316,2,31,0.97,66
156,57,M,Centro,rural,nuevo,0,0.93,1,97,1,1,1,0,434,0.782,4,15,0.15,75
157,43,F,Sur,urbano,nuevo,1,0.55,0,22,0,1,1,1,632,0.65,4,47,0.82,8
158,59,F,Lima,rural,recurrente,0,1.0,1,98,1,0,1,0,397,0.652,2,59,0.77,86
159,65,M,Lima,rural,nuevo,0,0.51,0,89,0,1,1,0,687,0.303,2,27,0.66,7
160,35,F,Sur,urbano,recurrente,1,0.48,1,3,1,1,1,1,816,0.167,2,36,0.76,29
161,63,M,Centro,rural,recurrente,1,0.3,1,41,1,1,1,0,537,0.719,2,0,0.88,24
162,49,F,Centro,urbano,nuevo,1,0.67,0,54,1,1,1,0,629,0.582,1,11,0.15,25
163,56,M,Lima,rural,recurrente,0,0.41,1,40,1,1,1,1,501,0.395,4,58,0.75,19
164,33,F,Sur,rural,recurrente,0,0.7,0,4,0,0,1,0,558,0.131,2,19,0.4,62
165,52,M,Lima,urbano,nuevo,0,0.75,0,98,1,1,1,0,314,0.097,1,11,0.61,75
166,27,F,Lima,rural,nuevo,0,0.66,1,8,1,1,1,0,527,0.105,3,39,0.66,25
167,42,F,Lima,urbano,nuevo,1,0.06,0,18,0,1,1,0,699,0.442,6,38,0.33,8
168,48,F,Sur,rural,recurrente,0,0.73,0,18,0,0,1,0,594,0.199,2,3,0.86,84
169,22,M,Sur,rural,recurrente,0,0.72,0,69,0,0,1,0,392,0.157,3,32,0.76,31
170,62,F,Centro,rural,recurrente,0,0.67,1,7,1,0,1,0,594,0.961,5,41,0.03,34
171,65,F,Sur,urbano,recurrente,1,0.51,0,40,0,1,1,1,737,0.188,2,45,0.22,15
172,26,M,Sur,urbano,nuevo,1,0.56,1,20,1,0,1,1,662,0.087,4,58,0.04,6
173,48,M,Sur,urbano,nuevo,1,0.95,1,31,1,1,1,0,485,0.987,0,48,0.5,63
174,48,F,Norte,urbano,recurrente,0,0.12,1,35,1,1,1,1,515,0.127,1,48,0.71,41
175,64,F,Centro,urbano,recurrente,0,0.64,1,33,1,1,1,1,708,0.77,3,49,0.3,79
176,64,M,Sur,rural,nuevo,1,0.71,1,5,1,1,1,1,711,0.567,0,41,0.59,52
177,40,F,Lima,rural,nuevo,1,0.95,1,10,1,0,1,1,382,0.443,0,26,0.24,2
178,50,F,Norte,urbano,recurrente,1,0.01,1,50,1,1,1,1,712,0.649,2,4,0.83,11
179,31,M,Norte,urbano,recurrente,0,0.5,0,6,0,0,1,1,542,0.927,1,53,0.45,55
180,48,M,Centro,urbano,nuevo,0,0.43,1,71,1,1,1,0,310,0.707,1,59,0.73,79
181,45,M,Norte,urbano,recurrente,1,0.34,1,52,1,1,1,0,511,0.096,0,57,0.27,60
182,59,F,Norte,urbano,recurrente,1,0.33,1,84,1,1,1,1,538,0.857,3,13,0.41,62
183,53,F,Centro,urbano,recurrente,0,0.61,1,48,1,1,1,0,369,0.38,1,21,0.48,35
184,21,M,Sur,urbano,recurrente,1,0.14,1,54,1,1,1,0,829,0.677,1,56,0.07,28
185,47,M,Centro,urbano,recurrente,0,0.73,0,95,0,0,1,1,802,0.662,2,32,0.73,83
186,33,F,Lima,urbano,recurrente,1,0.98,1,95,1,1,1,1,690,0.683,2,0,0.17,24
187,61,M,Sur,urbano,recurrente,1,0.75,1,41,1,1,1,0,352,0.321,4,30,0.66,34
188,23,F,Sur,rural,recurrente,1,0.22,0,21,0,1,1,0,516,0.528,1,34,0.61,0
189,59,M,Norte,rural,nuevo,0,0.87,1,68,1,0,1,0,841,0.248,2,54,0.54,45
190,26,M,Sur,urbano,recurrente,1,0.74,0,43,0,0,1,0,719,0.259,1,31,0.84,73
191,28,F,Norte,urbano,recurrente,0,0.12,1,31,1,1,1,1,640,0.819,2,31,0.96,44
192,47,F,Sur,urbano,nuevo,1,0.53,1,29,1,1,1,0,645,0.273,0,54,0.67,38
193,29,M,Centro,urbano,recurrente,0,0.86,1,0,1,0,1,0,605,0.595,1,13,0.49,10
194,57,F,Norte,rural,recurrente,0,0.91,0,30,1,1,1,1,321,0.107,4,10,0.45,10
195,53,F,Centro,rural,nuevo,1,0.7,0,89,0,0,1,0,432,0.914,0,19,0.89,27
196,62,M,Norte,urbano,recurrente,1,0.44,0,50,1,1,1,0,487,0.163,1,1,0.46,34
197,64,F,Norte,rural,nuevo,1,0.77,1,6,1,1,1,0,829,0.795,2,57,0.6,50
198,44,F,Norte,urbano,recurrente,1,0.76,0,53,0,1,1,0,819,0.209,0,24,0.38,9
199,35,F,Sur,rural,recurrente,1,0.54,0,42,0,1,1,0,344,0.915,2,47,0.34,23
200,52,F,Sur,urbano,recurrente,1,0.9,0,79,0,0,1,0,590,0.555,4,57,0.86,77
201,52,M,Centro,urbano,recurrente,1,0.29,1,65,1,1,1,0,747,0.579,5,41,0.26,82
202,44,M,Lima,urbano,nuevo,0,0.59,0,42,1,1,1,0,587,0.1,1,12,0.78,4
203,61,M,Centro,urbano,recurrente,0,0.96,1,52,1,1,1,0,762,0.829,3,33,0.11,61
204,69,M,Lima,rural,recurrente,1,0.02,0,67,1,1,1,0,341,0.304,3,15,0.9,68
205,69,M,Norte,rural,recurrente,1,0.85,0,99,0,0,1,0,757,0.268,4,6,0.94,61
206,32,F,Lima,rural,recurrente,1,0.41,1,4,1,1,1,1,820,0.157,3,0,0.95,6
207,59,F,Lima,urbano,recurrente,0,0.01,1,0,1,1,1,0,340,0.389,2,32,0.28,69
208,22,F,Norte,urbano,recurrente,1,0.64,1,96,1,1,1,1,674,0.471,3,32,0.54,54
209,23,M,Centro,urbano,nuevo,0,0.91,0,87,0,0,1,1,800,0.793,1,11,0.26,3
210,69,M,Norte,rural,nuevo,0,0.75,0,13,0,1,1,0,805,0.414,3,2,0.94,45
211,57,M,Norte,urbano,recurrente,0,0.26,1,86,1,0,1,0,434,0.492,3,50,0.07,75
212,69,F,Lima,rural,nuevo,1,0.26,1,12,1,1,1,1,617,0.275,2,12,0.35,88
213,37,F,Norte,urbano,recurrente,1,0.71,1,20,1,1,1,0,384,0.36,1,0,0.29,46
214,69,F,Centro,urbano,nuevo,0,0.09,1,97,1,1,1,0,572,0.129,3,8,0.5,74
215,22,M,Lima,rural,recurrente,1,0.05,0,40,1,1,1,0,751,0.021,2,56,0.35,77
216,22,M,Centro,rural,nuevo,0,0.59,1,35,1,1,1,1,809,0.065,3,26,0.81,28
217,48,F,Norte,urbano,recurrente,0,0.53,1,78,1,1,1,0,569,0.78,1,3,0.22,61
218,43,F,Centro,urbano,nuevo,0,0.03,1,98,1,1,1,0,480,0.852,0,43,0.59,76
219,57,F,Centro,urbano,recurrente,1,0.88,1,43,1,1,1,1,838,0.511,1,10,0.25,39
220,52,M,Norte,rural,nuevo,0,0.31,1,54,1,1,1,1,661,0.79,0,0,0.22,31
221,53,M,Sur,urbano,recurrente,1,0.51,1,93,1,1,1,0,655,0.3,1,33,0.87,32
222,21,F,Centro,urbano,nuevo,0,0.63,1,64,1,0,1,0,846,0.06,3,53,0.58,63
223,39,F,Sur,urbano,nuevo,1,0.29,1,1,1,1,1,1,491,0.33,0,41,0.08,28
224,22,M,Norte,urbano,recurrente,1,0.97,1,34,1,1,1,0,563,0.268,4,25,0.05,39
225,64,F,Sur,urbano,recurrente,0,0.16,1,27,1,1,1,1,733,0.59,2,59,0.39,79
226,46,F,Sur,urbano,recurrente,1,0.18,1,87,1,1,1,1,379,0.11,2,36,0.6,21
227,52,M,Sur,urbano,recurrente,1,0.18,0,13,0,1,1,0,695,0.172,5,20,0.83,46
228,26,F,Sur,urbano,recurrente,0,0.39,1,41,1,1,1,0,675,0.266,0,13,0.67,20
229,52,F,Centro,urbano,nuevo,0,0.25,1,27,1,0,1,0,626,0.023,3,10,0.55,54
230,24,F,Centro,urbano,recurrente,0,0.0,0,14,1,1,1,1,768,0.478,3,15,0.92,80
231,31,M,Lima,urbano,nuevo,1,0.51,1,26,1,1,1,0,846,0.59,4,51,0.7,83
232,37,F,Sur,urbano,recurrente,1,0.72,0,61,0,1,1,1,588,0.426,2,11,0.72,81
233,58,F,Norte,rural,recurrente,1,0.93,1,71,1,1,1,1,373,0.335,2,20,0.6,44
234,44,M,Centro,urbano,recurrente,1,0.21,1,97,1,1,1,0,368,0.468,0,44,0.13,44
235,25,F,Sur,urbano,recurrente,1,0.23,0,78,0,1,1,1,520,0.118,4,53,0.23,40
236,54,F,Norte,rural,nuevo,1,0.62,0,58,0,1,1,0,311,0.374,3,9,0.99,21
237,26,M,Lima,urbano,recurrente,0,0.66,0,57,0,1,1,1,482,0.18,2,4,0.94,36
238,42,F,Norte,rural,recurrente,1,0.75,0,33,0,0,1,1,525,0.205,1,24,0.64,72
239,31,F,Norte,urbano,recurrente,1,0.85,1,63,1,1,1,0,680,0.42,2,58,0.43,46
240,68,F,Sur,urbano,recurrente,0,0.55,1,52,1,1,1,0,738,0.064,1,21,0.42,0
241,36,M,Centro,urbano,recurrente,1,0.29,0,17,0,0,1,0,725,0.134,2,59,0.12,48
242,53,F,Norte,rural,recurrente,1,0.82,1,35,1,1,1,0,491,0.084,3,52,0.06,84
243,29,M,Norte,rural,recurrente,1,0.51,0,58,0,1,1,0,376,0.022,1,30,0.55,27
244,26,M,Lima,urbano,nuevo,1,0.28,1,22,1,1,1,0,556,0.95,1,14,0.92,85
245,36,M,Centro,urbano,recurrente,1,0.48,0,100,0,1,1,0,686,0.953,0,5,0.6,57
246,49,M,Centro,urbano,recurrente,0,0.97,1,75,1,0,1,1,812,0.83,2,32,0.22,10
247,23,M,Centro,urbano,recurrente,1,0.08,1,65,1,1,1,1,540,0.943,1,4,0.53,65
248,40,M,Centro,urbano,recurrente,0,0.21,0,76,0,1,1,1,381,0.046,3,45,0.01,56
249,56,M,Centro,urbano,recurrente,1,0.06,1,100,1,1,1,0,562,0.162,3,39,0.94,32
250,39,F,Lima,rural,recurrente,1,0.9,0,15,0,1,1,0,811,0.67,0,58,0.09,76
251,46,F,Centro,rural,recurrente,1,0.49,1,16,1,1,1,0,380,0.76,0,21,0.61,24
252,23,M,Centro,urbano,recurrente,0,0.05,1,8,1,1,1,0,361,0.465,1,9,0.36,27
253,39,F,Sur,rural,nuevo,1,0.76,1,26,1,0,1,0,430,0.992,0,29,0.42,8
254,40,F,Lima,rural,recurrente,1,0.08,1,66,1,0,1,1,808,0.42,2,49,0.94,71
255,52,F,Lima,rural,recurrente,1,0.54,1,42,1,1,1,0,647,0.372,2,36,0.41,21
256,27,M,Centro,urbano,recurrente,1,0.63,1,77,1,1,1,0,790,0.469,2,20,0.18,78
257,61,F,Norte,urbano,recurrente,0,0.99,1,56,1,1,1,1,530,0.722,1,21,0.32,89
258,53,M,Sur,urbano,nuevo,0,0.67,1,37,1,0,1,0,492,0.312,2,7,0.13,21
259,60,M,Sur,urbano,recurrente,1,0.03,1,49,1,0,1,0,529,0.053,2,16,0.72,50
260,59,F,Norte,urbano,recurrente,1,0.29,1,26,1,1,1,0,570,0.464,2,42,0.55,60
